,Image,F1,Jaccard,Recall,Precision,Accuracy
0,243.png,0.9555661729574773,0.9149130832570905,0.983284169124877,0.929368029739777,0.9985809326171875
1,2252.png,0.8515625,0.7414965986394558,0.7512060647829083,0.9828674481514879,0.99420166015625
2,448.png,0.7670527670527671,0.6221294363256785,0.6300211416490487,0.9802631578947368,0.9972381591796875
3,647.png,0.8199697428139183,0.6948717948717948,0.7832369942196532,0.8603174603174604,0.9945526123046875
4,1737.png,0.9256619144602851,0.861611374407583,0.9126506024096386,0.9390495867768595,0.997772216796875
5,1264.png,0.9347536617842876,0.8775,0.9777158774373259,0.8954081632653061,0.9992523193359375
6,2205.png,0.6787252368647717,0.5136897001303781,0.6735042735042736,0.6840277777777778,0.9943084716796875
7,1506.png,0.9095200629425649,0.834054834054834,0.9160063391442155,0.903125,0.9982452392578125
8,2847.png,0.828804347826087,0.7076566125290024,0.7345857418111753,0.9507481296758105,0.990386962890625
9,911.png,0.6277372262773724,0.4574468085106383,0.45851755526658,0.994920993227991,0.9680938720703125
10,2921.png,0.8520489622139436,0.742234585071859,0.839098532494759,0.8654054054054054,0.99151611328125
11,1217.png,0.01904761904761905,0.009615384615384616,0.009615384615384616,1.0,0.9952850341796875
12,1643.png,0.8098318240620958,0.6804347826086956,0.6879120879120879,0.9842767295597484,0.9977569580078125
13,624.png,0.0,0.0,0.0,0.0,0.9816436767578125
14,1453.png,0.9071332436069987,0.8300492610837439,0.9970414201183432,0.8320987654320988,0.9989471435546875
15,985.png,0.4687045123726346,0.3060836501901141,0.4170984455958549,0.5348837209302325,0.9944305419921875
16,2081.png,0.1971830985915493,0.109375,0.11336032388663968,0.7567567567567568,0.99652099609375
17,1002.png,0.9464788732394367,0.8983957219251337,0.9385474860335196,0.9545454545454546,0.999420166015625
18,2090.png,0.44948453608247424,0.2898936170212766,0.35130383826545564,0.6238293444328824,0.9551849365234375
19,625.png,0.9488563351323567,0.9026894865525672,0.9089118660758247,0.9924731182795699,0.9969635009765625
20,2445.png,0.36551724137931035,0.22362869198312235,0.22362869198312235,1.0,0.9635009765625
