epoch,dice_coef,loss,lr,val_dice_coef,val_loss
0,0.03556270897388458,0.9644381999969482,1e-07,0.03881366178393364,0.961186408996582
1,0.040881119668483734,0.9591187238693237,1e-07,0.04474280774593353,0.9552574157714844
2,0.04570988193154335,0.9542900323867798,1e-07,0.04960004612803459,0.9503997564315796
3,0.049742914736270905,0.9502574801445007,1e-07,0.05350209400057793,0.94649738073349
4,0.05302208662033081,0.9469784498214722,1e-07,0.05655183270573616,0.9434483051300049
5,0.05567921698093414,0.9443202018737793,1e-07,0.058928247541189194,0.9410714507102966
6,0.05786428973078728,0.942136287689209,1e-07,0.06083010509610176,0.9391701817512512
7,0.05971260741353035,0.9402872920036316,1e-07,0.06240462511777878,0.9375957250595093
8,0.06132275238633156,0.9386770725250244,1e-07,0.06375057995319366,0.9362492561340332
9,0.06276064366102219,0.9372391700744629,1e-07,0.06492973864078522,0.9350700378417969
10,0.06407196074724197,0.9359284043312073,1e-07,0.06598588079214096,0.9340139031410217
11,0.06529425829648972,0.934704601764679,1e-07,0.0669623538851738,0.9330376386642456
12,0.0664617195725441,0.9335389137268066,1e-07,0.06789149343967438,0.9321085810661316
13,0.06760737299919128,0.9323924779891968,1e-07,0.0688038021326065,0.9311967492103577
14,0.06876575946807861,0.9312335848808289,1e-07,0.06973099708557129,0.9302691221237183
15,0.06997586041688919,0.9300238490104675,1e-07,0.07071011513471603,0.9292901754379272
16,0.071284718811512,0.9287154078483582,1e-07,0.07178663462400436,0.9282135963439941
17,0.07275324314832687,0.927246630191803,1e-07,0.07303221523761749,0.9269675612449646
18,0.07445885241031647,0.9255411028862,1e-07,0.07454939931631088,0.9254507422447205
19,0.07647145539522171,0.9235283732414246,1e-07,0.0764380618929863,0.9235619306564331
20,0.07877179980278015,0.921227753162384,1e-07,0.07862997055053711,0.9213695526123047
21,0.08124051988124847,0.9187595248222351,1e-07,0.08095376938581467,0.9190457463264465
22,0.0838039219379425,0.9161959886550903,1e-07,0.08333765715360641,0.9166625738143921
23,0.08648448437452316,0.9135156869888306,1e-07,0.085823193192482,0.9141771197319031
24,0.0893288403749466,0.910671055316925,1e-07,0.08846288174390793,0.9115366339683533
25,0.09233956038951874,0.9076610803604126,1e-07,0.0912838727235794,0.9087161421775818
26,0.09546738862991333,0.9045326709747314,1e-07,0.09421996772289276,0.9057797789573669
27,0.09865573048591614,0.9013437032699585,1e-07,0.09721372276544571,0.9027866721153259
28,0.10187212377786636,0.8981276154518127,1e-07,0.10023196786642075,0.8997676372528076
29,0.10509300976991653,0.8949072360992432,1e-07,0.10323220491409302,0.896767795085907
30,0.10829152911901474,0.8917087912559509,1e-07,0.10616089403629303,0.8938392996788025
31,0.11145289987325668,0.8885467648506165,1e-07,0.10898212343454361,0.8910176157951355
32,0.1145811676979065,0.8854183554649353,1e-07,0.11170794814825058,0.8882918953895569
33,0.11768781393766403,0.8823122978210449,1e-07,0.11433538794517517,0.8856645226478577
34,0.12078859657049179,0.8792113661766052,1e-07,0.11690071225166321,0.8830994367599487
35,0.12389808893203735,0.876101553440094,1e-07,0.11940072476863861,0.8805993795394897
36,0.12701798975467682,0.8729819059371948,1e-07,0.12183522433042526,0.8781647682189941
37,0.13014373183250427,0.8698559999465942,1e-07,0.12422402203083038,0.8757756948471069
38,0.13328760862350464,0.8667125105857849,1e-07,0.12660177052021027,0.8733983039855957
39,0.13642947375774384,0.8635696172714233,1e-07,0.12891040742397308,0.8710895776748657
40,0.13955098390579224,0.8604485392570496,1e-07,0.1311858743429184,0.86881422996521
41,0.14266337454319,0.8573366403579712,1e-07,0.13351082801818848,0.8664892911911011
42,0.14576618373394012,0.8542337417602539,1e-07,0.135787233710289,0.8642123341560364
43,0.1488661915063858,0.8511340618133545,1e-07,0.13805778324604034,0.8619420528411865
44,0.15198209881782532,0.8480172753334045,1e-07,0.14035333693027496,0.8596462607383728
45,0.15512342751026154,0.8448763489723206,1e-07,0.14267976582050323,0.8573204278945923
46,0.15825212001800537,0.8417474627494812,1e-07,0.14485442638397217,0.8551452159881592
47,0.16133010387420654,0.8386696577072144,1e-07,0.14694225788116455,0.8530576825141907
48,0.16434617340564728,0.8356539607048035,1e-07,0.1489456743001938,0.8510542511940002
49,0.16729947924613953,0.8327001929283142,1e-07,0.15088824927806854,0.8491120338439941
